Vertexes;Gr;GrL;GrLE;GrSD;GrSA;
1;1.0;1.0;1.0;1.0;1.0;
2;1.0;1.0;1.0;1.0;1.0;
3;1.0;1.0;1.0;1.0;1.0;
4;2.0;1.0;1.0;1.0;2.0;
5;1.0;1.0;1.0;1.0;1.0;
6;1.0;1.0;1.0;1.0;1.0;
7;1.3333333333333333;1.0;1.3333333333333333;1.0;1.3333333333333333;
8;1.5714285714285714;0.8571428571428571;0.8571428571428571;0.8571428571428571;1.4285714285714286;
9;1.2222222222222223;1.0;1.0;1.6666666666666667;1.0;
10;0.8571428571428571;0.7857142857142857;0.7857142857142857;1.2142857142857142;1.1428571428571428;
11;0.8823529411764706;0.8823529411764706;0.8823529411764706;1.1176470588235294;1.1176470588235294;
12;1.1;0.85;0.85;1.3;1.0;
13;0.9090909090909091;0.9090909090909091;0.9090909090909091;1.2727272727272727;0.9090909090909091;
14;1.0625;0.9375;0.9375;1.03125;1.09375;
15;0.7560975609756098;0.7560975609756098;0.7560975609756098;0.7560975609756098;0.9024390243902439;
16;0.9777777777777777;0.9333333333333333;0.8666666666666667;0.8666666666666667;1.0444444444444445;
17;1.0930232558139534;1.186046511627907;1.0;1.0465116279069768;1.0930232558139534;
18;0.9298245614035088;0.8596491228070176;0.8596491228070176;0.8596491228070176;1.1403508771929824;
19;1.0;0.9259259259259259;0.9259259259259259;0.9629629629629629;1.0;
20;1.2580645161290323;0.9193548387096774;0.9193548387096774;0.9193548387096774;1.0806451612903225;
21;1.1369863013698631;0.863013698630137;1.1369863013698631;0.863013698630137;1.1095890410958904;
22;1.1851851851851851;0.8518518518518519;0.8518518518518519;0.8518518518518519;1.0740740740740742;
23;0.9583333333333334;0.8333333333333334;0.875;0.8333333333333334;1.0833333333333333;
24;0.9459459459459459;0.7927927927927928;0.918918918918919;0.9099099099099099;0.8288288288288288;
25;0.9454545454545454;0.8727272727272727;0.8727272727272727;0.8727272727272727;1.1090909090909091;
26;0.8780487804878049;0.8699186991869918;0.8699186991869918;0.8699186991869918;1.0406504065040652;
27;0.8732394366197183;0.8169014084507042;0.8169014084507042;0.8169014084507042;0.9436619718309859;
28;1.1041666666666667;0.8472222222222222;1.0694444444444444;0.8472222222222222;0.9722222222222222;
29;1.162162162162162;0.8918918918918919;0.8783783783783784;0.8783783783783784;1.162162162162162;
30;0.9157303370786517;0.7921348314606742;0.7921348314606742;0.848314606741573;1.0337078651685394;
31;1.022857142857143;0.8514285714285714;0.8628571428571429;0.8514285714285714;1.0114285714285713;
32;1.043010752688172;0.8602150537634409;0.8602150537634409;0.8602150537634409;1.096774193548387;
33;0.9627906976744186;0.8418604651162791;0.9627906976744186;0.8418604651162791;0.9627906976744186;
34;0.9142857142857143;0.7877551020408163;0.7877551020408163;0.9387755102040817;0.9387755102040817;
35;1.008097165991903;0.8299595141700404;0.8866396761133604;0.8623481781376519;1.0;
36;1.012;0.876;0.936;0.88;1.056;
37;0.9921875;0.8671875;0.8671875;0.8671875;1.0078125;
38;0.9824561403508771;0.8210526315789474;0.8210526315789474;0.8210526315789474;1.0315789473684212;
39;1.0565371024734982;0.8798586572438163;0.9363957597173145;0.8798586572438163;1.0353356890459364;
40;0.8892508143322475;0.8371335504885994;0.8371335504885994;0.8371335504885994;1.0260586319218241;
41;1.0484848484848486;0.8242424242424242;0.9696969696969697;0.8242424242424242;1.018181818181818;
42;1.0196629213483146;0.9831460674157303;0.9831460674157303;0.8623595505617978;1.0308988764044944;
43;0.90633608815427;0.8236914600550964;0.8236914600550964;0.8236914600550964;1.0055096418732783;
44;0.984251968503937;0.8267716535433071;0.8267716535433071;0.8267716535433071;1.0026246719160106;
45;0.8756218905472637;0.835820895522388;0.835820895522388;0.8308457711442786;1.0597014925373134;
46;0.967741935483871;0.8018433179723502;0.8018433179723502;0.8018433179723502;0.9700460829493087;
47;0.9954648526077098;0.8276643990929705;0.8276643990929705;0.8820861678004536;1.0;
48;0.9166666666666666;0.8269230769230769;0.8141025641025641;0.8141025641025641;0.9038461538461539;
49;1.0342612419700214;0.8372591006423983;0.8372591006423983;0.8372591006423983;1.0813704496788008;
50;1.0229885057471264;0.7988505747126436;0.7988505747126436;0.7988505747126436;1.0;
51;1.032967032967033;0.7875457875457875;0.7875457875457875;0.7875457875457875;0.9560439560439561;
52;0.987012987012987;0.8367346938775511;0.8367346938775511;0.8367346938775511;0.9833024118738405;
53;1.0490367775831875;0.8213660245183888;1.0140105078809107;0.8213660245183888;1.0280210157618213;
54;0.8795986622073578;0.81438127090301;0.81438127090301;0.81438127090301;1.0535117056856187;
55;0.9968798751950078;0.7940717628705148;0.7940717628705148;0.7940717628705148;0.9781591263650546;
56;1.020123839009288;0.8219814241486069;0.8219814241486069;0.8219814241486069;1.020123839009288;
57;0.93993993993994;0.8288288288288288;0.8288288288288288;0.8288288288288288;1.006006006006006;
58;1.0179640718562875;0.8607784431137725;0.8607784431137725;0.8607784431137725;1.0464071856287425;
59;1.0514285714285714;0.8485714285714285;0.8485714285714285;0.8485714285714285;0.96;
60;0.9163449163449163;0.7902187902187903;0.7902187902187903;0.7902187902187903;0.9781209781209781;
61;1.0359897172236503;0.8200514138817481;1.0102827763496145;0.8200514138817481;1.0411311053984575;
62;1.020752269779507;0.8573281452658884;0.8573281452658884;0.914396887159533;1.0428015564202335;
63;1.018957345971564;0.8080568720379147;0.9597156398104265;0.8080568720379147;1.004739336492891;
64;0.9495896834701055;0.8276670574443142;0.8276670574443142;0.8276670574443142;1.0257913247362251;
65;0.8833883388338833;0.801980198019802;0.801980198019802;0.801980198019802;0.9691969196919692;
66;0.9395248380129589;0.8034557235421166;0.8034557235421166;0.8034557235421166;0.9946004319654428;
67;0.9201637666325486;0.7830092118730808;0.7830092118730808;0.8116683725690891;0.9795291709314228;
68;0.922440537745605;0.8210961737331954;0.8210961737331954;0.8210961737331954;1.0217166494312306;
69;0.8959764474975466;0.7998037291462218;0.7998037291462218;0.7998037291462218;0.9744847890088322;
70;1.0075329566854991;0.7947269303201506;0.7947269303201506;0.827683615819209;0.972693032015066;
71;1.0206766917293233;0.8214285714285714;1.0075187969924813;0.8533834586466166;1.031954887218045;
72;0.9570093457943926;0.8383177570093457;0.8383177570093457;0.8383177570093457;1.0457943925233646;
73;1.0129270544783011;0.8430286241920592;0.8430286241920592;0.8430286241920592;1.0498614958448753;
74;0.8766177739430544;0.811044003451251;0.811044003451251;0.811044003451251;0.9861949956859362;
75;0.8889795918367347;0.7828571428571428;0.7828571428571428;0.7828571428571428;0.8873469387755102;
76;0.9542902967121091;0.7914995990376904;0.7914995990376904;0.7914995990376904;0.9703287890938251;
77;1.0235478806907379;0.7943485086342229;0.7943485086342229;0.7943485086342229;0.9686028257456829;
78;0.954510993176649;0.7945413191811979;0.7945413191811979;0.821076573161486;0.9719484457922669;
79;0.9322533136966127;0.792341678939617;0.792341678939617;0.8173784977908689;1.0058910162002945;
80;0.9721407624633431;0.8115835777126099;0.8115835777126099;0.8460410557184751;1.0476539589442815;
81;0.9942938659058488;0.8131241084165478;0.8131241084165478;0.8131241084165478;0.985734664764622;
82;0.9325153374233128;0.798227675528289;0.798227675528289;0.798227675528289;0.989093387866394;
83;1.0080267558528428;0.8046822742474916;0.8046822742474916;0.8046822742474916;1.0040133779264213;
84;0.8818897637795275;0.8077427821522309;0.8077427821522309;0.8556430446194225;0.994750656167979;
85;0.9733671528218135;0.8021559923906151;0.8021559923906151;0.8021559923906151;0.9505389980976537;
86;0.9694323144104804;0.8084840923268871;0.8084840923268871;0.8084840923268871;1.0056144728633811;
87;0.9453883495145631;0.7997572815533981;0.7997572815533981;0.8179611650485437;1.0048543689320388;
88;0.9868421052631579;0.8050239234449761;0.8050239234449761;0.8050239234449761;0.9952153110047847;
89;0.9705188679245284;0.8136792452830188;0.8136792452830188;0.8136792452830188;1.025943396226415;
90;0.9771949828962372;0.8015963511972634;0.8015963511972634;0.830672748004561;1.0051311288483467;
91;0.9115533443891652;0.7932559425096739;0.7932559425096739;0.8385848535102266;0.9856274184632393;
92;1.0114879649890591;0.8025164113785558;0.8025164113785558;0.8025164113785558;0.9945295404814004;
93;0.8937960042060988;0.7875920084121977;0.7875920084121977;0.7875920084121977;0.9915878023133544;
94;0.8546835443037974;0.7716455696202532;0.7716455696202532;0.8121518987341773;0.9939240506329113;
95;0.9464105156723963;0.7846309403437816;0.7846309403437816;0.7846309403437816;0.9949443882709808;
96;0.9199798691494716;0.7986914947156517;0.7986914947156517;0.7986914947156517;0.9386009058882738;
97;0.9326171875;0.7900390625;0.7900390625;0.7900390625;0.994140625;
