Vertexes;Gr;GrL;GrLE;GrSD;GrSA;
1;1.0;1.0;1.0;1.0;1.0;
2;1.0;1.0;1.0;1.0;1.0;
3;1.0;1.0;1.0;1.0;1.0;
4;1.0;1.0;1.0;1.0;2.0;
5;1.0;1.0;1.0;1.0;1.0;
6;1.0;1.0;1.0;1.0;4.0;
7;1.0;1.0;1.0;1.0;1.0;
8;1.2222222222222223;0.8888888888888888;0.8888888888888888;1.0;0.8888888888888888;
9;1.0;1.0;1.0;1.2222222222222223;1.0;
10;1.0909090909090908;1.0;1.0;1.5454545454545454;1.0909090909090908;
11;1.0;1.0;1.0;1.0;0.8;
12;0.7916666666666666;0.7916666666666666;0.7916666666666666;0.9583333333333334;0.7916666666666666;
13;0.9230769230769231;1.1538461538461537;0.9230769230769231;1.0;1.0;
14;0.9696969696969697;0.8787878787878788;0.8787878787878788;0.8787878787878788;0.8787878787878788;
15;1.0;0.9393939393939394;1.0;1.0;1.121212121212121;
16;0.8888888888888888;0.8444444444444444;0.8444444444444444;0.9777777777777777;1.0;
17;0.9636363636363636;0.9272727272727272;0.9636363636363636;0.9636363636363636;0.9272727272727272;
18;0.8305084745762712;0.8305084745762712;0.8305084745762712;0.8983050847457628;0.8305084745762712;
19;0.8918918918918919;0.8918918918918919;0.8648648648648649;0.918918918918919;0.8918918918918919;
20;0.9078947368421053;0.8552631578947368;0.8552631578947368;1.0;0.9342105263157895;
21;1.0;0.8043478260869565;0.9130434782608695;0.8478260869565217;0.9347826086956522;
22;0.956989247311828;0.8924731182795699;0.8924731182795699;1.0;0.967741935483871;
23;0.9803921568627451;0.9215686274509803;0.9803921568627451;0.9215686274509803;1.0196078431372548;
24;0.9;0.8545454545454545;0.8545454545454545;0.9636363636363636;1.009090909090909;
25;1.0495867768595042;0.9173553719008265;1.0;0.9338842975206612;0.9008264462809917;
26;0.9051094890510949;0.9343065693430657;0.9051094890510949;0.948905109489051;0.9635036496350365;
27;1.0;0.9857142857142858;1.0;1.0;0.9285714285714286;
28;0.9113924050632911;0.8860759493670886;0.9113924050632911;0.9620253164556962;0.930379746835443;
29;0.9882352941176471;0.9294117647058824;0.9529411764705882;0.9882352941176471;0.9058823529411765;
30;1.0112994350282485;0.8926553672316384;0.9661016949152542;1.0282485875706215;1.0169491525423728;
31;0.8712871287128713;0.8712871287128713;0.8712871287128713;0.8811881188118812;0.9603960396039604;
32;0.9299065420560748;0.9018691588785047;0.8925233644859814;0.9532710280373832;0.9392523364485982;
33;0.9217391304347826;0.8956521739130435;0.9130434782608695;0.9478260869565217;0.9826086956521739;
34;0.927710843373494;0.8634538152610441;0.8674698795180723;0.8674698795180723;0.9718875502008032;
35;0.9296875;0.921875;0.90625;0.953125;1.0078125;
36;0.9100719424460432;0.8705035971223022;0.8381294964028777;0.920863309352518;0.9280575539568345;
37;0.9719298245614035;0.9087719298245615;0.9438596491228071;0.9228070175438596;0.9719298245614035;
38;0.9262820512820513;0.8717948717948718;0.8942307692307693;0.9134615384615384;1.0064102564102564;
39;0.9130434782608695;0.8695652173913043;0.8819875776397516;0.968944099378882;0.968944099378882;
40;0.9250720461095101;0.8818443804034583;0.8933717579250721;0.8962536023054755;0.9221902017291066;
41;0.9657142857142857;0.9314285714285714;0.9657142857142857;0.9542857142857143;1.0057142857142858;
42;0.9706666666666667;0.9093333333333333;0.944;0.9253333333333333;0.9413333333333334;
43;0.9405940594059405;0.8910891089108911;0.900990099009901;0.9653465346534653;0.9603960396039604;
44;0.9855072463768116;0.9106280193236715;0.9396135265700483;0.9371980676328503;0.9420289855072463;
45;0.9414414414414415;0.8918918918918919;0.9009009009009009;0.9009009009009009;0.9099099099099099;
46;0.9049676025917927;0.8855291576673866;0.9028077753779697;0.9460043196544277;0.9071274298056156;
47;0.9313131313131313;0.9111111111111111;0.8909090909090909;0.9434343434343434;0.9393939393939394;
48;0.9224652087475149;0.9065606361829026;0.9085487077534792;0.9443339960238568;0.9284294234592445;
49;0.9658444022770398;0.9013282732447818;0.9430740037950665;0.9089184060721063;0.9544592030360531;
50;0.9403254972875226;0.8987341772151899;0.8860759493670886;0.9258589511754068;0.9312839059674503;
51;0.9204152249134948;0.916955017301038;0.8961937716262975;0.9619377162629758;0.9688581314878892;
52;0.9763513513513513;0.918918918918919;0.9121621621621622;0.9222972972972973;0.972972972972973;
53;0.9533333333333334;0.9133333333333333;0.95;0.9733333333333334;0.9566666666666667;
54;0.9393468118195957;0.9144634525660964;0.9237947122861586;0.9284603421461898;0.9626749611197511;
55;0.9430284857571214;0.9160419790104948;0.9100449775112444;0.9400299850074962;0.9310344827586207;
56;0.9464033850493653;0.8998589562764457;0.8984485190409027;0.918194640338505;0.9167842031029619;
57;0.9336099585062241;0.8948824343015215;0.9142461964038727;0.9640387275242047;0.9225449515905948;
58;0.9285714285714286;0.8756613756613757;0.8756613756613757;0.9338624338624338;0.958994708994709;
59;0.9367888748419722;0.8735777496839444;0.9216182048040455;0.9469026548672567;0.9469026548672567;
60;0.9615384615384616;0.9230769230769231;0.9267990074441688;0.9553349875930521;0.9404466501240695;
61;0.9567827130852341;0.9063625450180072;0.9303721488595438;0.9423769507803121;0.9447779111644657;
62;0.9547563805104409;0.9234338747099768;0.8955916473317865;0.9466357308584686;0.9292343387470998;
63;0.9429824561403509;0.8969298245614035;0.9298245614035088;0.9144736842105263;0.9298245614035088;
64;0.9414270500532481;0.8871139510117146;0.873269435569755;0.9499467518636848;0.9350372736954207;
65;0.9354838709677419;0.9001040582726326;0.9250780437044746;0.9604578563995838;0.9417273673257024;
66;0.9251282051282051;0.9097435897435897;0.9066666666666666;0.9435897435897436;0.9661538461538461;
67;0.9262135922330097;0.887378640776699;0.8970873786407767;0.9475728155339805;0.9242718446601942;
68;0.9628924833491912;0.8820171265461465;0.9096098953377736;0.9381541389153187;0.9305423406279734;
69;0.9568480300187617;0.924953095684803;0.9324577861163227;0.949343339587242;0.9568480300187617;
70;0.9413854351687388;0.9129662522202486;0.8898756660746003;0.933392539964476;0.9413854351687388;
71;0.944202266782912;0.9128160418482999;0.9197907585004359;0.952920662598082;0.93025283347864;
72;0.9633730834752982;0.9173764906303237;0.9318568994889267;0.9642248722316865;0.9505962521294719;
73;0.9506172839506173;0.8962962962962963;0.8979423868312757;0.9522633744855967;0.9539094650205762;
74;0.9479905437352246;0.8944050433412135;0.91725768321513;0.9282899921197794;0.9219858156028369;
75;0.9518633540372671;0.9006211180124224;0.9270186335403726;0.9363354037267081;0.922360248447205;
76;0.958966565349544;0.9110942249240122;0.9399696048632219;0.9582066869300911;0.9566869300911854;
77;0.9564891222805701;0.9234808702175544;0.9414853713428357;0.9564891222805701;0.9339834958739685;
78;0.9275053304904051;0.9189765458422174;0.906183368869936;0.9253731343283582;0.9388770433546553;
79;0.9198341395991707;0.8935729094678645;0.9018659295093296;0.9488597097442986;0.9460953697304768;
80;0.9591558883594282;0.910142954390742;0.921715452688904;0.9339686861810755;0.9530292716133424;
81;0.952317880794702;0.9231788079470199;0.9364238410596026;0.919205298013245;0.9165562913907285;
82;0.9307692307692308;0.892948717948718;0.9032051282051282;0.9512820512820512;0.9461538461538461;
83;0.9453273998728544;0.912269548633185;0.912269548633185;0.9529561347743166;0.9593134138588684;
84;0.9642416769420469;0.9118372379778051;0.9364981504315659;0.9519112207151664;0.9445129469790382;
85;0.9447447447447448;0.9087087087087087;0.9243243243243243;0.9459459459459459;0.9519519519519519;
86;0.9434731934731935;0.9055944055944056;0.9015151515151515;0.9376456876456877;0.9545454545454546;
87;0.9400113186191285;0.9060554612337295;0.9162422184493492;0.9332201471420487;0.9241652518392756;
88;0.9498873873873874;0.9144144144144144;0.9403153153153153;0.9532657657657657;0.9481981981981982;
89;0.9436924742826205;0.910124526258798;0.9252842447211694;0.9480238224147266;0.924201407688143;
90;0.969532100108814;0.941784548422198;0.9542981501632208;0.955930359085963;0.9662676822633297;
91;0.9441282979824107;0.9151577858251423;0.9099844800827729;0.9493016037247801;0.9389549922400414;
92;0.9375943633618521;0.9008555611474585;0.9073980875691998;0.9426270759939608;0.9386009058882738;
93;0.947680157946693;0.9052319842053307;0.910167818361303;0.9387956564659428;0.9397828232971372;
94;0.9330120481927711;0.9002409638554217;0.9127710843373494;0.9272289156626506;0.9339759036144578;
95;0.9324131366016183;0.8990956687291766;0.9029033793431699;0.9419324131366016;0.9495478343645883;
96;0.9449112978524743;0.919234360410831;0.9253034547152195;0.9388422035480859;0.9705882352941176;
97;0.9298561151079137;0.9064748201438849;0.9199640287769785;0.9325539568345323;0.9388489208633094;
